Colombia,17984,672,17020,292,"Caqueta, Colombia",4479.32571,3.736654804
Colombia,18788,438,17272,1078,"Casanare, Colombia",4467.971767,2.331275282
Colombia,32826,885,31086,855,"Cauca, Colombia",2241.465959,2.696033632
Colombia,64186,1741,60558,1887,"Cesar, Colombia",5346.276031,2.712429502
Colombia,10548,271,9699,578,"Choco, Colombia",1972.230221,2.569207433
Colombia,60679,2420,55902,2357,"Cordoba, Colombia",3399.797062,3.988200201
Colombia,152516,4146,140983,7387,"Cundinamarca, Colombia",5224.832652,2.718403315
Colombia,1641,22,1550,69,"Guainia, Colombia",3410.649707,1.340645948
Colombia,2764,41,2580,143,"Guaviare, Colombia",3339.495209,1.483357453
Colombia,56927,1979,53655,1293,"Huila, Colombia",5173.366437,3.476382033
Colombia,34959,1103,32964,892,"La Guajira, Colombia",3970.087217,3.155124575
Colombia,67748,2565,63014,2169,"Magdalena, Colombia",5049.241809,3.786089626
Colombia,50251,1188,48169,894,"Meta, Colombia",4833.118853,2.364132057
Colombia,60269,1966,56095,2208,"Narino, Colombia",3696.14226,3.262041846
Colombia,59076,2982,54626,1468,"Norte de Santander, Colombia",3960.34294,5.047735121
Colombia,11494,455,10618,421,"Putumayo, Colombia",3301.147101,3.958587089
Colombia,42725,1289,40610,826,"Quindio, Colombia",7913.443872,3.016968988
Colombia,60987,1545,58179,1263,"Risaralda, Colombia",6464.589289,2.533326775
Colombia,5007,77,4646,284,"San Andres y Providencia, Colombia",8170.691906,1.537847014
Colombia,124270,4266,114109,5895,"Santander, Colombia",5687.838498,3.432847831
Colombia,33037,1119,30696,1222,"Sucre, Colombia",3651.049938,3.387111421
Colombia,73445,2381,69804,1260,"Tolima, Colombia",5521.404133,3.24188168
Colombia,0,0,0,0,"Unknown, Colombia",0,0
Colombia,258125,8202,244237,5686,"Valle del Cauca, Colombia",5767.01462,3.177530266
Colombia,1484,14,1435,35,"Vaupes, Colombia",3637.522367,0.943396226
Colombia,1728,25,1629,74,"Vichada, Colombia",1602.84951,1.446759259
Comoros,3872,146,3713,13,Comoros,445.2647497,3.770661157
Congo (Brazzaville),11476,150,8208,3118,Congo (Brazzaville),207.9704362,1.307075636
Congo (Kinshasa),30863,779,27603,2481,Congo (Kinshasa),34.46015652,2.524057933
Costa Rica,299219,3765,228589,66865,Costa Rica,5873.818293,1.258275711
Cote d'Ivoire,46942,298,46346,298,Cote d'Ivoire,177.9570499,0.634825955
Croatia,353986,7903,342202,3881,Croatia,8622.725727,2.23257417
Cuba,133053,877,125236,6940,Cuba,1174.693306,0.659135833
Cyprus,71911,354,39061,32496,Cyprus,5956.047943,0.492275173
Czechia,1657893,30020,1607706,20167,Czechia,15481.33147,1.810732056
Denmark,676,1,668,7,"Faroe Islands, Denmark",1383.403254,0.147928994
Denmark,34,0,32,2,"Greenland, Denmark",59.88867752,0
Denmark,273494,2508,257387,13599,Denmark,4721.761306,0.917021946
Diamond Princess,712,13,699,0,Diamond Princess,0,1.825842697
Djibouti,11493,153,11335,5,Djibouti,1163.256755,1.331245106
Dominica,184,0,176,8,Dominica,255.587504,0
Dominican Republic,283729,3606,235814,44309,Dominican Republic,2615.51909,1.270931065
Ecuador,418851,20193,354499,44159,Ecuador,2374.026955,4.821046148
Egypt,253835,14721,186678,52436,Egypt,248.0446385,5.799436642
El Salvador,72220,2216,67510,2494,El Salvador,1113.440672,3.068402105
Equatorial Guinea,8436,113,7801,522,Equatorial Guinea,601.2893937,1.339497392
Eritrea,3932,14,3711,207,Eritrea,110.8721539,0.356052899
Estonia,128592,1240,120886,6466,Estonia,9693.797167,0.964290158
Eswatini,18551,672,17833,46,Eswatini,1598.998073,3.622446229
Ethiopia,269194,4076,228757,36361,Ethiopia,234.1558892,1.514149647
Fiji,230,4,134,92,Fiji,25.65692893,1.739130435
Finland,91526,932,46000,44594,Finland,1651.879774,1.018289885
France,22780,112,9995,12673,"French Guiana, France",7626.840586,0.49165935
France,18844,141,18677,26,"French Polynesia, France",6708.34164,0.748248779
France,16517,255,2250,14012,"Guadeloupe, France",4127.939379,1.543863898
France,11789,93,98,11598,"Martinique, France",3141.513331,0.788870981
France,20176,171,2964,17041,"Mayotte, France",7395.542001,0.847541634
France,125,0,58,67,"New Caledonia, France",43.78421737,0
France,23566,176,21709,1681,"Reunion, France",2632.166807,0.746838666
France,1005,1,462,542,"Saint Barthelemy, France",10166.91958,0.099502488
France,25,0,25,0,"Saint Pierre and Miquelon, France",431.4063848,0
France,1915,12,1399,504,"St Martin, France",4953.56838,0.626631854
France,445,7,438,0,"Wallis and Futuna, France",2910.589313,1.573033708
France,5547914,107789,324444,5112446,France,8499.48751,1.831613037
Gabon,24107,147,20976,2984,Gabon,1083.106292,0.609781391
Gambia,5968,175,5727,66,Gambia,246.9519966,2.93230563
Georgia,337573,4622,318599,14352,Georgia,8462.225899,1.369185332
Germany,487578,9846,454600,23132,"Baden-Wurttemberg, Germany",4404.684461,2.019369209
Germany,634391,14787,596500,23104,"Bayern, Germany",4851.300261,2.330896876
Germany,177243,3439,169900,3904,"Berlin, Germany",4862.865882,1.940274087
Germany,107799,3699,100500,3600,"Brandenburg, Germany",4291.503262,3.431386191
Germany,26868,471,25940,457,"Bremen, Germany",3933.902013,1.753014739
Germany,75752,1545,70500,3707,"Hamburg, Germany",4114.320226,2.039550111
Germany,283870,7212,262000,14658,"Hessen, Germany",4530.460472,2.54059957
Germany,43602,1109,41100,1393,"Mecklenburg-Vorpommern, Germany",2708.745554,2.543461309
Germany,256162,5559,242600,8003,"Niedersachsen, Germany",3209.06569,2.170111102
Germany,798113,16493,743600,38020,"Nordrhein-Westfalen, Germany",4450.613576,2.066499355
Germany,151337,3696,141900,5741,"Rheinland-Pfalz, Germany",3704.841605,2.442231576
Germany,40413,997,38000,1416,"Saarland, Germany",4080.023503,2.467027937
Germany,281887,9564,257100,15223,"Sachsen, Germany",6912.490311,3.392848908
Germany,97765,3286,89400,5079,"Sachsen-Anhalt, Germany",4427.119065,3.361121056
Germany,62542,1578,58900,2064,"Schleswig-Holstein, Germany",2159.068627,2.523104474
Germany,126475,4148,117500,4827,"Thuringen, Germany",5901.373915,3.279699545
Germany,5865,0,0,5865,"Unknown, Germany",0,0
Ghana,93620,783,91581,1256,Ghana,301.2910427,0.836359752
Greece,389804,11772,93764,284268,Greece,3739.824481,3.019979272
Grenada,161,1,160,0,Grenada,143.0869453,0.621118012
Guatemala,247454,8000,227600,11854,Guatemala,1381.22338,3.232924099
Guinea,22988,158,20699,2131,Guinea,175.042748,0.687315121
Guinea-Bissau,3751,68,3495,188,Guinea-Bissau,190.5997872,1.812849907
Guyana,16130,359,13745,2026,Guyana,2050.704397,2.22566646
Haiti,13735,280,12507,948,Haiti,120.4556917,2.03858755
